File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\DITest.java,109,92,66,26,13,0,4,38,0,0
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\IModel.java,5,3,2,0,2,0,0,0,0,0
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\IPresenter.java,10,6,5,0,4,0,0,0,0,0
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\IService.java,8,4,3,0,4,0,0,0,0,0
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\IView.java,8,4,3,0,4,0,0,0,0,0
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\Model.java,6,3,2,0,3,0,0,0,0,0
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\ModelFactory.java,20,12,8,1,6,0,2,14,0,0
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\Presenter.java,20,16,13,1,4,0,0,0,0,0
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\Presenter_CDI.java,23,18,14,1,5,0,0,0,0,0
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\Presenter_IDI.java,31,22,16,1,9,0,0,0,0,0
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\Presenter_SDI.java,30,22,16,1,8,0,0,0,0,0
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\Presenter_SL.java,21,16,13,1,5,0,0,0,0,0
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\Service.java,10,5,3,0,5,0,0,0,0,0
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\ServiceFactory.java,21,12,8,1,7,0,2,14,0,0
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\View.java,11,5,3,0,5,0,1,3,0,0
C:\Users\Rasaq\workspace\baseproject\src\project\swe763\programs\ViewFactory.java,21,12,8,1,7,0,2,14,0,0
